name1,name,liked,difficulty,passed,submitted,url
146. LRU缓存机制,Lru Cache,328,中等,"26,317","58,868",https://leetcode-cn.com/problems/lru-cache
152. 乘积最大子序列,Maximum Product Subarray,327,中等,"27,997","77,251",https://leetcode-cn.com/problems/maximum-product-subarray
41. 缺失的第一个正数,First Missing Positive,327,困难,"30,507","82,112",https://leetcode-cn.com/problems/first-missing-positive
226. 翻转二叉树,Invert Binary Tree,325,简单,"42,564","58,389",https://leetcode-cn.com/problems/invert-binary-tree
28. 实现 strStr(),Implement Strstr,324,简单,"108,982","278,351",https://leetcode-cn.com/problems/implement-strstr
25. K 个一组翻转链表,Reverse Nodes In K Group,323,困难,"30,673","55,542",https://leetcode-cn.com/problems/reverse-nodes-in-k-group
48. 旋转图像,Rotate Image,320,中等,"46,279","70,260",https://leetcode-cn.com/problems/rotate-image
203. 移除链表元素,Remove Linked List Elements,320,简单,"50,299","116,606",https://leetcode-cn.com/problems/remove-linked-list-elements
16. 最接近的三数之和,3Sum Closest,313,中等,"60,739","143,679",https://leetcode-cn.com/problems/3sum-closest
236. 二叉树的最近公共祖先,Lowest Common Ancestor Of A Binary Tree,311,中等,"35,267","60,194",https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-tree
45. 跳跃游戏 II,Jump Game Ii,309,困难,"24,133","74,673",https://leetcode-cn.com/problems/jump-game-ii
200. 岛屿数量,Number Of Islands,308,中等,"44,205","95,569",https://leetcode-cn.com/problems/number-of-islands
215. 数组中的第K个最大元素,Kth Largest Element In An Array,305,中等,"63,681","106,563",https://leetcode-cn.com/problems/kth-largest-element-in-an-array
142. 环形链表 II,Linked List Cycle Ii,295,中等,"41,152","88,224",https://leetcode-cn.com/problems/linked-list-cycle-ii
322. 零钱兑换,Coin Change,294,中等,"32,590","89,151",https://leetcode-cn.com/problems/coin-change
105. 从前序与中序遍历序列构造二叉树,Construct Binary Tree From Preorder And Inorder Traversal,291,中等,"34,323","54,430",https://leetcode-cn.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
51. N皇后,N Queens,284,困难,"20,772","31,033",https://leetcode-cn.com/problems/n-queens
76. 最小覆盖子串,Minimum Window Substring,282,困难,"18,057","52,005",https://leetcode-cn.com/problems/minimum-window-substring
75. 颜色分类,Sort Colors,279,中等,"47,269","87,387",https://leetcode-cn.com/problems/sort-colors
108. 将有序数组转换为二叉搜索树,Convert Sorted Array To Binary Search Tree,279,简单,"40,576","59,632",https://leetcode-cn.com/problems/convert-sorted-array-to-binary-search-tree
67. 二进制求和,Add Binary,273,简单,"52,896","102,572",https://leetcode-cn.com/problems/add-binary
69. x 的平方根,Sqrtx,271,简单,"78,660","211,179",https://leetcode-cn.com/problems/sqrtx
100. 相同的树,Same Tree,271,简单,"51,546","92,484",https://leetcode-cn.com/problems/same-tree
37. 解数独,Sudoku Solver,270,困难,"15,222","26,043",https://leetcode-cn.com/problems/sudoku-solver
120. 三角形最小路径和,Triangle,268,中等,"32,112","50,993",https://leetcode-cn.com/problems/triangle
34. 在排序数组中查找元素的第一个和最后一个位置,Find First And Last Position Of Element In Sorted Array,267,中等,"49,422","129,176",https://leetcode-cn.com/problems/find-first-and-last-position-of-element-in-sorted-array
617. 合并二叉树,Merge Two Binary Trees,267,简单,"27,972","37,682",https://leetcode-cn.com/problems/merge-two-binary-trees
79. 单词搜索,Word Search,263,中等,"29,080","73,472",https://leetcode-cn.com/problems/word-search
92. 反转链表 II,Reverse Linked List Ii,263,中等,"28,011","58,082",https://leetcode-cn.com/problems/reverse-linked-list-ii
238. 除自身以外数组的乘积,Product Of Array Except Self,261,中等,"22,744","35,141",https://leetcode-cn.com/problems/product-of-array-except-self
85. 最大矩形,Maximal Rectangle,259,困难,"13,807","31,873",https://leetcode-cn.com/problems/maximal-rectangle
124. 二叉树中的最大路径和,Binary Tree Maximum Path Sum,259,困难,"19,592","51,050",https://leetcode-cn.com/problems/binary-tree-maximum-path-sum
279. 完全平方数,Perfect Squares,258,中等,"29,112","56,239",https://leetcode-cn.com/problems/perfect-squares
185. 部门工资前三高的所有员工,Department Top Three Salaries,255,困难,"16,514","40,535",https://leetcode-cn.com/problems/department-top-three-salaries
139. 单词拆分,Word Break,252,中等,"27,108","63,418",https://leetcode-cn.com/problems/word-break
54. 螺旋矩阵,Spiral Matrix,251,中等,"33,470","88,476",https://leetcode-cn.com/problems/spiral-matrix
123. 买卖股票的最佳时机 III,Best Time To Buy And Sell Stock Iii,248,困难,"17,036","42,674",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-iii
437. 路径总和 III,Path Sum Iii,248,简单,"15,964","30,213",https://leetcode-cn.com/problems/path-sum-iii
95. 不同的二叉搜索树 II,Unique Binary Search Trees Ii,244,中等,"15,730","26,022",https://leetcode-cn.com/problems/unique-binary-search-trees-ii
448. 找到所有数组中消失的数字,Find All Numbers Disappeared In An Array,244,简单,"20,491","37,566",https://leetcode-cn.com/problems/find-all-numbers-disappeared-in-an-array
12. 整数转罗马数字,Integer To Roman,244,中等,"55,396","89,404",https://leetcode-cn.com/problems/integer-to-roman
204. 计数质数,Count Primes,243,简单,"35,893","114,422",https://leetcode-cn.com/problems/count-primes
43. 字符串相乘,Multiply Strings,241,中等,"36,279","88,412",https://leetcode-cn.com/problems/multiply-strings
292. Nim 游戏,Nim Game,240,简单,"33,399","47,989",https://leetcode-cn.com/problems/nim-game
44. 通配符匹配,Wildcard Matching,238,困难,"15,374","60,182",https://leetcode-cn.com/problems/wildcard-matching
56. 合并区间,Merge Intervals,237,中等,"42,291","107,237",https://leetcode-cn.com/problems/merge-intervals
91. 解码方法,Decode Ways,237,中等,"25,137","111,915",https://leetcode-cn.com/problems/decode-ways
36. 有效的数独,Valid Sudoku,236,中等,"47,078","81,957",https://leetcode-cn.com/problems/valid-sudoku
29. 两数相除,Divide Two Integers,234,中等,"28,869","152,253",https://leetcode-cn.com/problems/divide-two-integers
83. 删除排序链表中的重复元素,Remove Duplicates From Sorted List,233,简单,"61,044","126,061",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list
"50. Pow(x, n)",Powx N,228,中等,"42,376","126,501",https://leetcode-cn.com/problems/powx-n
181. 超过经理收入的员工,Employees Earning More Than Their Managers,228,简单,"44,099","65,352",https://leetcode-cn.com/problems/employees-earning-more-than-their-managers
49. 字母异位词分组,Group Anagrams,226,中等,"40,341","67,613",https://leetcode-cn.com/problems/group-anagrams
177. 第N高的薪水,Nth Highest Salary,220,中等,"29,174","67,375",https://leetcode-cn.com/problems/nth-highest-salary
461. 汉明距离,Hamming Distance,219,简单,"35,697","48,383",https://leetcode-cn.com/problems/hamming-distance
114. 二叉树展开为链表,Flatten Binary Tree To Linked List,218,中等,"20,374","30,637",https://leetcode-cn.com/problems/flatten-binary-tree-to-linked-list
350. 两个数组的交集 II,Intersection Of Two Arrays Ii,216,简单,"58,252","128,020",https://leetcode-cn.com/problems/intersection-of-two-arrays-ii
137. 只出现一次的数字 II,Single Number Ii,215,中等,"17,041","26,279",https://leetcode-cn.com/problems/single-number-ii
167. 两数之和 II - 输入有序数组,Two Sum Ii Input Array Is Sorted,213,简单,"55,115","107,212",https://leetcode-cn.com/problems/two-sum-ii-input-array-is-sorted
338. 比特位计数,Counting Bits,212,中等,"22,149","30,020",https://leetcode-cn.com/problems/counting-bits
347. 前 K 个高频元素,Top K Frequent Elements,210,中等,"29,566","50,002",https://leetcode-cn.com/problems/top-k-frequent-elements
118. 杨辉三角,Pascals Triangle,209,简单,"49,977","76,903",https://leetcode-cn.com/problems/pascals-triangle
112. 路径总和,Path Sum,207,简单,"41,807","86,453",https://leetcode-cn.com/problems/path-sum
337. 打家劫舍 III,House Robber Iii,206,中等,"11,215","20,407",https://leetcode-cn.com/problems/house-robber-iii
665. 非递减数列,Non Decreasing Array,204,简单,"11,202","53,169",https://leetcode-cn.com/problems/non-decreasing-array
235. 二叉搜索树的最近公共祖先,Lowest Common Ancestor Of A Binary Search Tree,200,简单,"31,547","51,560",https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-search-tree
63. 不同路径 II,Unique Paths Ii,198,中等,"32,868","102,641",https://leetcode-cn.com/problems/unique-paths-ii
128. 最长连续序列,Longest Consecutive Sequence,198,困难,"20,937","44,596",https://leetcode-cn.com/problems/longest-consecutive-sequence
746. 使用最小花费爬楼梯,Min Cost Climbing Stairs,196,简单,"19,233","42,177",https://leetcode-cn.com/problems/min-cost-climbing-stairs
739. 每日温度,Daily Temperatures,196,中等,"22,620","40,094",https://leetcode-cn.com/problems/daily-temperatures
217. 存在重复元素,Contains Duplicate,196,简单,"96,141","188,714",https://leetcode-cn.com/problems/contains-duplicate
202. 快乐数,Happy Number,196,简单,"37,932","67,420",https://leetcode-cn.com/problems/happy-number
258. 各位相加,Add Digits,195,简单,"26,760","41,121",https://leetcode-cn.com/problems/add-digits
145. 二叉树的后序遍历,Binary Tree Postorder Traversal,195,困难,"41,849","60,572",https://leetcode-cn.com/problems/binary-tree-postorder-traversal
406. 根据身高重建队列,Queue Reconstruction By Height,194,中等,"12,813","21,084",https://leetcode-cn.com/problems/queue-reconstruction-by-height
184. 部门工资最高的员工,Department Highest Salary,193,中等,"24,834","57,881",https://leetcode-cn.com/problems/department-highest-salary
207. 课程表,Course Schedule,193,中等,"17,832","36,823",https://leetcode-cn.com/problems/course-schedule
344. 反转字符串,Reverse String,191,简单,"95,294","139,833",https://leetcode-cn.com/problems/reverse-string
268. 缺失数字,Missing Number,190,简单,"41,606","77,920",https://leetcode-cn.com/problems/missing-number
47. 全排列 II,Permutations Ii,189,中等,"31,289","55,861",https://leetcode-cn.com/problems/permutations-ii
581. 最短无序连续子数组,Shortest Unsorted Continuous Subarray,189,简单,"13,561","40,802",https://leetcode-cn.com/problems/shortest-unsorted-continuous-subarray
131. 分割回文串,Palindrome Partitioning,188,中等,"17,782","27,513",https://leetcode-cn.com/problems/palindrome-partitioning
110. 平衡二叉树,Balanced Binary Tree,188,简单,"40,608","82,406",https://leetcode-cn.com/problems/balanced-binary-tree
77. 组合,Combinations,188,中等,"27,658","38,586",https://leetcode-cn.com/problems/combinations
240. 搜索二维矩阵 II,Search A 2D Matrix Ii,187,中等,"34,143","89,671",https://leetcode-cn.com/problems/search-a-2d-matrix-ii
438. 找到字符串中所有字母异位词,Find All Anagrams In A String,187,中等,"13,522","34,180",https://leetcode-cn.com/problems/find-all-anagrams-in-a-string
179. 最大数,Largest Number,186,中等,"17,120","49,343",https://leetcode-cn.com/problems/largest-number
221. 最大正方形,Maximal Square,186,中等,"16,897","43,699",https://leetcode-cn.com/problems/maximal-square
239. 滑动窗口最大值,Sliding Window Maximum,185,困难,"22,433","51,968",https://leetcode-cn.com/problems/sliding-window-maximum
82. 删除排序链表中的重复元素 II,Remove Duplicates From Sorted List Ii,184,中等,"26,229","58,673",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list-ii
196. 删除重复的电子邮箱,Delete Duplicate Emails,184,简单,"26,548","45,623",https://leetcode-cn.com/problems/delete-duplicate-emails
111. 二叉树的最小深度,Minimum Depth Of Binary Tree,184,简单,"41,590","102,208",https://leetcode-cn.com/problems/minimum-depth-of-binary-tree
61. 旋转链表,Rotate List,184,中等,"35,976","91,055",https://leetcode-cn.com/problems/rotate-list
30. 串联所有单词的子串,Substring With Concatenation Of All Words,182,困难,"18,770","66,239",https://leetcode-cn.com/problems/substring-with-concatenation-of-all-words
180. 连续出现的数字,Consecutive Numbers,182,中等,"21,200","44,557",https://leetcode-cn.com/problems/consecutive-numbers
264. 丑数 II,Ugly Number Ii,180,中等,"13,318","27,570",https://leetcode-cn.com/problems/ugly-number-ii
144. 二叉树的前序遍历,Binary Tree Preorder Traversal,180,中等,"55,684","88,540",https://leetcode-cn.com/problems/binary-tree-preorder-traversal
40. 组合总和 II,Combination Sum Ii,179,中等,"32,100","54,618",https://leetcode-cn.com/problems/combination-sum-ii
309. 最佳买卖股票时机含冷冻期,Best Time To Buy And Sell Stock With Cooldown,179,中等,"10,871","21,606",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-with-cooldown
134. 加油站,Gas Station,179,中等,"17,667","35,217",https://leetcode-cn.com/problems/gas-station
257. 二叉树的所有路径,Binary Tree Paths,177,简单,"20,308","33,217",https://leetcode-cn.com/problems/binary-tree-paths
127. 单词接龙,Word Ladder,175,中等,"16,889","43,989",https://leetcode-cn.com/problems/word-ladder
560. 和为K的子数组,Subarray Sum Equals K,174,中等,"11,829","27,832",https://leetcode-cn.com/problems/subarray-sum-equals-k
172. 阶乘后的零,Factorial Trailing Zeroes,174,简单,"23,465","59,538",https://leetcode-cn.com/problems/factorial-trailing-zeroes
538. 把二叉搜索树转换为累加树,Convert Bst To Greater Tree,170,简单,"12,210","21,213",https://leetcode-cn.com/problems/convert-bst-to-greater-tree
394. 字符串解码,Decode String,168,中等,"12,590","26,684",https://leetcode-cn.com/problems/decode-string
371. 两整数之和,Sum Of Two Integers,168,简单,"19,235","36,335",https://leetcode-cn.com/problems/sum-of-two-integers
93. 复原IP地址,Restore Ip Addresses,166,中等,"20,191","44,774",https://leetcode-cn.com/problems/restore-ip-addresses
416. 分割等和子集,Partition Equal Subset Sum,166,中等,"13,558","31,029",https://leetcode-cn.com/problems/partition-equal-subset-sum
182. 查找重复的电子邮箱,Duplicate Emails,164,简单,"54,112","69,923",https://leetcode-cn.com/problems/duplicate-emails
543. 二叉树的直径,Diameter Of Binary Tree,164,简单,"14,621","31,497",https://leetcode-cn.com/problems/diameter-of-binary-tree
687. 最长同值路径,Longest Univalue Path,164,简单,"8,722","23,013",https://leetcode-cn.com/problems/longest-univalue-path
208. 实现 Trie (前缀树),Implement Trie Prefix Tree,164,中等,"18,728","29,689",https://leetcode-cn.com/problems/implement-trie-prefix-tree
647. 回文子串,Palindromic Substrings,163,中等,"13,523","22,673",https://leetcode-cn.com/problems/palindromic-substrings
387. 字符串中的第一个唯一字符,First Unique Character In A String,162,简单,"52,877","125,781",https://leetcode-cn.com/problems/first-unique-character-in-a-string
107. 二叉树的层次遍历 II,Binary Tree Level Order Traversal Ii,162,简单,"34,171","53,898",https://leetcode-cn.com/problems/binary-tree-level-order-traversal-ii
138. 复制带随机指针的链表,Copy List With Random Pointer,162,中等,"15,712","38,416",https://leetcode-cn.com/problems/copy-list-with-random-pointer
494. 目标和,Target Sum,161,中等,"13,064","30,985",https://leetcode-cn.com/problems/target-sum
312. 戳气球,Burst Balloons,160,困难,"5,780","10,227",https://leetcode-cn.com/problems/burst-balloons
547. 朋友圈,Friend Circles,159,中等,"19,941","37,023",https://leetcode-cn.com/problems/friend-circles
209. 长度最小的子数组,Minimum Size Subarray Sum,159,中等,"22,004","54,519",https://leetcode-cn.com/problems/minimum-size-subarray-sum
695. 岛屿的最大面积,Max Area Of Island,158,中等,"13,999","23,813",https://leetcode-cn.com/problems/max-area-of-island
80. 删除排序数组中的重复项 II,Remove Duplicates From Sorted Array Ii,156,中等,"26,886","50,379",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array-ii
621. 任务调度器,Task Scheduler,155,中等,"10,592","22,961",https://leetcode-cn.com/problems/task-scheduler
73. 矩阵置零,Set Matrix Zeroes,154,中等,"24,469","44,761",https://leetcode-cn.com/problems/set-matrix-zeroes
58. 最后一个单词的长度,Length Of Last Word,154,简单,"56,958","179,313",https://leetcode-cn.com/problems/length-of-last-word
213. 打家劫舍 II,House Robber Ii,152,中等,"15,909","44,915",https://leetcode-cn.com/problems/house-robber-ii
168. Excel表列名称,Excel Sheet Column Title,151,简单,"16,469","45,903",https://leetcode-cn.com/problems/excel-sheet-column-title
231. 2的幂,Power Of Two,149,简单,"39,069","82,879",https://leetcode-cn.com/problems/power-of-two
174. 地下城游戏,Dungeon Game,148,困难,"5,637","14,534",https://leetcode-cn.com/problems/dungeon-game
60. 第k个排列,Permutation Sequence,147,中等,"19,002","39,950",https://leetcode-cn.com/problems/permutation-sequence
205. 同构字符串,Isomorphic Strings,147,简单,"23,230","49,722",https://leetcode-cn.com/problems/isomorphic-strings
349. 两个数组的交集,Intersection Of Two Arrays,147,简单,"43,486","64,562",https://leetcode-cn.com/problems/intersection-of-two-arrays
260. 只出现一次的数字 III,Single Number Iii,146,中等,"11,704","17,092",https://leetcode-cn.com/problems/single-number-iii
90. 子集 II,Subsets Ii,145,中等,"17,819","30,736",https://leetcode-cn.com/problems/subsets-ii
887. 鸡蛋掉落,Super Egg Drop,144,困难,"6,159","30,289",https://leetcode-cn.com/problems/super-egg-drop
113. 路径总和 II,Path Sum Ii,144,中等,"23,569","40,681",https://leetcode-cn.com/problems/path-sum-ii
86. 分隔链表,Partition List,140,中等,"20,862","38,418",https://leetcode-cn.com/problems/partition-list
669. 修剪二叉搜索树,Trim A Binary Search Tree,140,简单,"7,250","11,474",https://leetcode-cn.com/problems/trim-a-binary-search-tree
442. 数组中重复的数据,Find All Duplicates In An Array,140,中等,"9,653","15,441",https://leetcode-cn.com/problems/find-all-duplicates-in-an-array
557. 反转字符串中的单词 III,Reverse Words In A String Iii,138,简单,"36,497","53,279",https://leetcode-cn.com/problems/reverse-words-in-a-string-iii
143. 重排链表,Reorder List,138,中等,"12,795","23,891",https://leetcode-cn.com/problems/reorder-list
106. 从中序与后序遍历序列构造二叉树,Construct Binary Tree From Inorder And Postorder Traversal,136,中等,"19,339","29,469",https://leetcode-cn.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
135. 分发糖果,Candy,135,困难,"11,468","28,243",https://leetcode-cn.com/problems/candy
832. 翻转图像,Flipping An Image,135,简单,"25,390","34,481",https://leetcode-cn.com/problems/flipping-an-image
724. 寻找数组的中心索引,Find Pivot Index,135,简单,"23,031","64,651",https://leetcode-cn.com/problems/find-pivot-index
242. 有效的字母异位词,Valid Anagram,135,简单,"62,442","108,870",https://leetcode-cn.com/problems/valid-anagram
463. 岛屿的周长,Island Perimeter,135,简单,"10,797","16,857",https://leetcode-cn.com/problems/island-perimeter
496. 下一个更大元素 I,Next Greater Element I,135,简单,"17,869","28,681",https://leetcode-cn.com/problems/next-greater-element-i
402. 移掉K位数字,Remove K Digits,134,中等,"8,478","31,461",https://leetcode-cn.com/problems/remove-k-digits
188. 买卖股票的最佳时机 IV,Best Time To Buy And Sell Stock Iv,133,困难,"8,558","30,427",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-iv
125. 验证回文串,Valid Palindrome,132,简单,"67,144","161,006",https://leetcode-cn.com/problems/valid-palindrome
626. 换座位,Exchange Seats,132,中等,"13,001","19,875",https://leetcode-cn.com/problems/exchange-seats
572. 另一个树的子树,Subtree Of Another Tree,132,简单,"10,737","25,420",https://leetcode-cn.com/problems/subtree-of-another-tree
876. 链表的中间结点,Middle Of The Linked List,131,简单,"23,304","36,702",https://leetcode-cn.com/problems/middle-of-the-linked-list
59. 螺旋矩阵 II,Spiral Matrix Ii,130,中等,"21,248","28,044",https://leetcode-cn.com/problems/spiral-matrix-ii
183. 从不订购的客户,Customers Who Never Order,130,简单,"41,195","63,845",https://leetcode-cn.com/problems/customers-who-never-order
343. 整数拆分,Integer Break,130,中等,"13,610","25,551",https://leetcode-cn.com/problems/integer-break
476. 数字的补数,Number Complement,129,简单,"15,387","22,716",https://leetcode-cn.com/problems/number-complement
459. 重复的子字符串,Repeated Substring Pattern,129,简单,"11,377","25,846",https://leetcode-cn.com/problems/repeated-substring-pattern
627. 交换工资,Swap Salary,128,简单,"25,596","34,574",https://leetcode-cn.com/problems/swap-salary
561. 数组拆分 I,Array Partition I,127,简单,"25,184","36,699",https://leetcode-cn.com/problems/array-partition-i
516. 最长回文子序列,Longest Palindromic Subsequence,127,中等,"9,833","20,521",https://leetcode-cn.com/problems/longest-palindromic-subsequence
